date_col,house,plot,trt,ID,predawn,midday,trt_s,trt_w,irig,last_event,days_since_pulse,pulse_num
2023-08-14,1,1,W3S4,H1P1,-2.26,-3.96,S4,W3,48.23182222,2023-08-14,0,3
2023-08-14,1,2,W2S2,H1P2,-1.71,-3.31,S2,W2,14.84775556,2023-08-14,0,7
2023-08-14,1,3,W3S1,H1P3,-3.19,-5.49,S1,W3,10.53817778,2023-08-14,0,13
2023-08-14,1,6,W3S2,H1P6,-1.84,-3.16,S2,W3,14.84775556,2023-08-14,0,7
2023-08-14,1,7,W2S1,H1P7,-2.68,-3.62,S1,W2,10.53817778,2023-08-14,0,13
2023-08-14,1,12,W2S4,H1P12,-1.91,-3.49,S4,W2,48.23182222,2023-08-14,0,3
2023-08-14,2,2,W2S2,H2P2,-1.43,-3.63,S2,W2,14.84775556,2023-08-14,0,7
2023-08-14,3,4,W3S1,H3P4,-1.65,-3.46,S1,W3,10.53817778,2023-08-14,0,13
2023-08-14,3,5,W3S2,H3P5,-1.17,-3.05,S2,W3,14.84775556,2023-08-14,0,7
2023-08-14,3,6,W2S4,H3P6,-1.68,-4.42,S4,W2,48.23182222,2023-08-14,0,3
2023-08-14,3,7,W3S4,H3P7,-3.07,-4.48,S4,W3,48.23182222,2023-08-14,0,3
2023-08-14,4,1,W3S1,H4P1,-2.57,-4.51,S1,W3,10.53817778,2023-08-14,0,13
2023-08-14,4,8,W2S1,H4P8,-2.91,-4.97,S1,W2,10.53817778,2023-08-14,0,13
2023-08-14,5,2,W3S4,H5P2,-1.94,-3.25,S4,W3,48.23182222,2023-08-14,0,3
2023-08-14,5,3,W2S4,H5P3,-4.31,-4.95,S4,W2,48.23182222,2023-08-14,0,3
2023-08-14,5,4,W3S2,H5P4,-2.31,-3.9,S2,W3,14.84775556,2023-08-14,0,7
2023-08-15,1,1,W3S4,H1P1,-0.46,-2.52,S4,W3,0,2023-08-14,1,3
2023-08-15,1,2,W2S2,H1P2,-0.5,-2.51,S2,W2,0,2023-08-14,1,7
2023-08-15,1,3,W3S1,H1P3,-0.75,-2.04,S1,W3,0,2023-08-14,1,13
2023-08-15,1,6,W3S2,H1P6,-0.53,-2.39,S2,W3,0,2023-08-14,1,7
2023-08-15,1,7,W2S1,H1P7,-0.92,-2.34,S1,W2,0,2023-08-14,1,13
2023-08-15,1,12,W2S4,H1P12,-0.43,-2.99,S4,W2,0,2023-08-14,1,3
2023-08-15,2,2,W2S2,H2P2,-0.56,-2.63,S2,W2,0,2023-08-14,1,7
2023-08-15,3,4,W3S1,H3P4,-0.76,-2.1,S1,W3,0,2023-08-14,1,13
2023-08-15,3,5,W3S2,H3P5,-0.69,-2.62,S2,W3,0,2023-08-14,1,7
2023-08-15,3,6,W2S4,H3P6,-0.69,-2.58,S4,W2,0,2023-08-14,1,3
2023-08-15,3,7,W3S4,H3P7,-0.39,-3.05,S4,W3,0,2023-08-14,1,3
2023-08-15,4,1,W3S1,H4P1,-0.61,-1.69,S1,W3,0,2023-08-14,1,13
2023-08-15,4,8,W2S1,H4P8,-0.56,-2.97,S1,W2,0,2023-08-14,1,13
2023-08-15,5,2,W3S4,H5P2,-0.74,-2.68,S4,W3,0,2023-08-14,1,3
2023-08-15,5,3,W2S4,H5P3,-0.21,-1.81,S4,W2,0,2023-08-14,1,3
2023-08-15,5,4,W3S2,H5P4,-1.11,-2.71,S2,W3,0,2023-08-14,1,7
2023-08-16,1,1,W3S4,H1P1,-0.32,-1.92,S4,W3,0,2023-08-14,2,3
2023-08-16,1,2,W2S2,H1P2,-0.95,-2.42,S2,W2,0,2023-08-14,2,7
2023-08-16,1,3,W3S1,H1P3,-1.28,-2.88,S1,W3,0,2023-08-14,2,13
2023-08-16,1,6,W3S2,H1P6,-0.63,-2.32,S2,W3,0,2023-08-14,2,7
2023-08-16,1,7,W2S1,H1P7,-1.06,-2.9,S1,W2,0,2023-08-14,2,13
2023-08-16,1,12,W2S4,H1P12,-0.33,-3.08,S4,W2,0,2023-08-14,2,3
2023-08-16,2,2,W2S2,H2P2,-0.65,-2.76,S2,W2,0,2023-08-14,2,7
2023-08-16,3,4,W3S1,H3P4,-0.73,-2.99,S1,W3,0,2023-08-14,2,13
2023-08-16,3,5,W3S2,H3P5,-0.8,-2.65,S2,W3,0,2023-08-14,2,7
2023-08-16,3,6,W2S4,H3P6,-0.81,-2.15,S4,W2,0,2023-08-14,2,3
2023-08-16,3,7,W3S4,H3P7,-0.87,-2.86,S4,W3,0,2023-08-14,2,3
2023-08-16,4,1,W3S1,H4P1,-0.71,-2.13,S1,W3,0,2023-08-14,2,13
2023-08-16,4,8,W2S1,H4P8,-1.01,-3.19,S1,W2,0,2023-08-14,2,13
2023-08-16,5,2,W3S4,H5P2,-0.63,-2.29,S4,W3,0,2023-08-14,2,3
2023-08-16,5,3,W2S4,H5P3,-0.43,-3.44,S4,W2,0,2023-08-14,2,3
2023-08-16,5,4,W3S2,H5P4,-0.61,-2.55,S2,W3,0,2023-08-14,2,7
2023-08-18,1,1,W3S4,H1P1,-0.39,-1.92,S4,W3,0,2023-08-14,4,3
2023-08-18,1,2,W2S2,H1P2,-0.93,-2.19,S2,W2,0,2023-08-14,4,7
2023-08-18,1,6,W3S2,H1P6,-0.89,-1.98,S2,W3,0,2023-08-14,4,7
2023-08-18,1,12,W2S4,H1P12,-0.47,-2.06,S4,W2,0,2023-08-14,4,3
2023-08-18,2,2,W2S2,H2P2,-0.81,-1.95,S2,W2,0,2023-08-14,4,7
2023-08-18,3,5,W3S2,H3P5,-0.69,-1.43,S2,W3,0,2023-08-14,4,7
2023-08-18,3,6,W2S4,H3P6,-0.56,-1.69,S4,W2,0,2023-08-14,4,3
2023-08-18,3,7,W3S4,H3P7,-0.62,-1.3,S4,W3,0,2023-08-14,4,3
2023-08-18,5,2,W3S4,H5P2,-0.37,-2.03,S4,W3,0,2023-08-14,4,3
2023-08-18,5,3,W2S4,H5P3,-0.31,-1.4,S4,W2,0,2023-08-14,4,3
2023-08-18,5,4,W3S2,H5P4,-1.19,-2.17,S2,W3,0,2023-08-14,4,7
2023-08-21,1,1,W3S4,H1P1,-0.36,-1.55,S4,W3,0,2023-08-14,7,3
2023-08-21,1,2,W2S2,H1P2,-1.68,-2.79,S2,W2,13.53928444,2023-08-21,0,8
2023-08-21,1,3,W3S1,H1P3,-0.55,-1.75,S1,W3,6.491631111,2023-08-21,0,15
2023-08-21,1,6,W3S2,H1P6,-1.38,-2.55,S2,W3,13.53928444,2023-08-21,0,8
2023-08-21,1,7,W2S1,H1P7,-0.66,-1.87,S1,W2,6.491631111,2023-08-21,0,15
2023-08-21,1,12,W2S4,H1P12,-0.64,-1.42,S4,W2,0,2023-08-14,7,3
2023-08-21,2,2,W2S2,H2P2,-1.57,-2.6,S2,W2,13.53928444,2023-08-21,0,8
2023-08-21,3,4,W3S1,H3P4,-0.63,-1.64,S1,W3,6.491631111,2023-08-21,0,15
2023-08-21,3,5,W3S2,H3P5,-1.55,-2.01,S2,W3,13.53928444,2023-08-21,0,8
2023-08-21,3,6,W2S4,H3P6,-0.28,-1.38,S4,W2,0,2023-08-14,7,3
2023-08-21,3,7,W3S4,H3P7,-0.46,-1.47,S4,W3,0,2023-08-14,7,3
2023-08-21,4,1,W3S1,H4P1,-1.17,-2.59,S1,W3,6.491631111,2023-08-21,0,15
2023-08-21,4,8,W2S1,H4P8,-0.97,-1.91,S1,W2,6.491631111,2023-08-21,0,15
2023-08-21,5,2,W3S4,H5P2,-0.21,-1.66,S4,W3,0,2023-08-14,7,3
2023-08-21,5,3,W2S4,H5P3,-0.3,-2.02,S4,W2,0,2023-08-14,7,3
2023-08-21,5,4,W3S2,H5P4,-1.27,-2.39,S2,W3,13.53928444,2023-08-21,0,8
2023-08-22,1,2,W2S2,H1P2,-0.86,-1.92,S2,W2,0,2023-08-21,1,8
2023-08-22,1,3,W3S1,H1P3,-0.46,-2.14,S1,W3,0,2023-08-21,1,15
2023-08-22,1,6,W3S2,H1P6,-0.36,-2.94,S2,W3,0,2023-08-21,1,8
2023-08-22,1,7,W2S1,H1P7,-0.83,-1.71,S1,W2,0,2023-08-21,1,15
2023-08-22,2,2,W2S2,H2P2,-0.49,-2.53,S2,W2,0,2023-08-21,1,8
2023-08-22,3,4,W3S1,H3P4,-0.46,-2.37,S1,W3,0,2023-08-21,1,15
2023-08-22,3,5,W3S2,H3P5,-0.44,-2.21,S2,W3,0,2023-08-21,1,8
2023-08-22,4,1,W3S1,H4P1,-0.63,-2.04,S1,W3,0,2023-08-21,1,15
2023-08-22,4,8,W2S1,H4P8,-0.92,-1.75,S1,W2,0,2023-08-21,1,15
2023-08-22,5,4,W3S2,H5P4,-0.36,-2.18,S2,W3,0,2023-08-21,1,8
2023-08-23,1,1,W3S4,H1P1,-0.72,-1.8,S4,W3,0,2023-08-14,9,3
2023-08-23,1,2,W2S2,H1P2,-0.72,-2.35,S2,W2,0,2023-08-21,2,8
2023-08-23,1,3,W3S1,H1P3,-0.47,-2.31,S1,W3,0,2023-08-21,2,15
2023-08-23,1,6,W3S2,H1P6,-0.57,-2.2,S2,W3,0,2023-08-21,2,8
2023-08-23,1,7,W2S1,H1P7,-0.54,-1.73,S1,W2,0,2023-08-21,2,15
2023-08-23,1,12,W2S4,H1P12,-0.42,-2.15,S4,W2,0,2023-08-14,9,3
2023-08-23,2,2,W2S2,H2P2,-0.59,-2.84,S2,W2,0,2023-08-21,2,8
2023-08-23,3,4,W3S1,H3P4,-0.37,-2.01,S1,W3,0,2023-08-21,2,15
2023-08-23,3,5,W3S2,H3P5,-0.32,-2.49,S2,W3,0,2023-08-21,2,8
2023-08-23,3,6,W2S4,H3P6,-0.37,-1.49,S4,W2,0,2023-08-14,9,3
2023-08-23,3,7,W3S4,H3P7,-0.28,-2.17,S4,W3,0,2023-08-14,9,3
2023-08-23,4,1,W3S1,H4P1,-0.53,-2.51,S1,W3,0,2023-08-21,2,15
2023-08-23,4,8,W2S1,H4P8,-0.73,-2.17,S1,W2,0,2023-08-21,2,15
2023-08-23,5,2,W3S4,H5P2,-0.26,-2.03,S4,W3,0,2023-08-14,9,3
2023-08-23,5,3,W2S4,H5P3,-0.36,-1.99,S4,W2,0,2023-08-14,9,3
2023-08-23,5,4,W3S2,H5P4,-0.28,-3.05,S2,W3,0,2023-08-21,2,8
2023-08-26,1,1,W3S4,H1P1,-0.76,-1.52,S4,W3,0,2023-08-14,12,3
2023-08-26,1,2,W2S2,H1P2,-1.84,-1.91,S2,W2,0,2023-08-21,5,8
2023-08-26,1,6,W3S2,H1P6,-1.11,-2.41,S2,W3,0,2023-08-21,5,8
2023-08-26,1,12,W2S4,H1P12,-0.63,-1.94,S4,W2,0,2023-08-14,12,3
2023-08-26,2,2,W2S2,H2P2,-0.74,-2.38,S2,W2,0,2023-08-21,5,8
2023-08-26,3,5,W3S2,H3P5,-1.21,-2.73,S2,W3,0,2023-08-21,5,8
2023-08-26,3,6,W2S4,H3P6,-0.54,-2.09,S4,W2,0,2023-08-14,12,3
2023-08-26,3,7,W3S4,H3P7,-0.53,-1.57,S4,W3,0,2023-08-14,12,3
2023-08-26,5,2,W3S4,H5P2,-0.47,-1.85,S4,W3,0,2023-08-14,12,3
2023-08-26,5,3,W2S4,H5P3,-0.41,-2.52,S4,W2,0,2023-08-14,12,3
